symbol,feature,horizon,ic,n
ETHUSDT,hl_range_mean_24h,fwd_3h,-0.02763618822268052,2926
ETHUSDT,hl_range_mean_24h,fwd_6h,-0.031491425884779996,2923
ETHUSDT,hl_range_mean_24h,fwd_12h,-0.022492199606179715,2917
ETHUSDT,hl_range_mean_24h,fwd_24h,0.03260440844528103,2905
ETHUSDT,hl_range_mean_24h,fwd_48h,0.13796028948266953,2881
ETHUSDT,hl_range_mean_24h,fwd_72h,0.06158024017066158,2857
ETHUSDT,hl_range_mean_24h,fwd_168h,-0.024188787705192775,2761
ETHUSDT,hl_range_z_24h,fwd_1h,0.0012076263588458045,2928
ETHUSDT,hl_range_z_24h,fwd_3h,0.00041239021461836046,2926
ETHUSDT,hl_range_z_24h,fwd_6h,0.006923531862676417,2923
ETHUSDT,hl_range_z_24h,fwd_12h,-0.00531731813467636,2917
ETHUSDT,hl_range_z_24h,fwd_24h,-0.04390311523922015,2905
ETHUSDT,hl_range_z_24h,fwd_48h,-0.03041755989684275,2881
ETHUSDT,hl_range_z_24h,fwd_72h,0.006295674724082339,2857
ETHUSDT,hl_range_z_24h,fwd_168h,0.0027367373011571734,2761
ETHUSDT,hl_range_mean_48h,fwd_1h,0.017698597670113298,2904
ETHUSDT,hl_range_mean_48h,fwd_3h,0.03478944967417072,2902
ETHUSDT,hl_range_mean_48h,fwd_6h,0.052452152916153884,2899
ETHUSDT,hl_range_mean_48h,fwd_12h,0.08339432272925794,2893
ETHUSDT,hl_range_mean_48h,fwd_24h,0.12450110274749816,2881
ETHUSDT,hl_range_mean_48h,fwd_48h,0.11581289981116624,2857
ETHUSDT,hl_range_mean_48h,fwd_72h,0.04950786452697946,2833
ETHUSDT,hl_range_mean_48h,fwd_168h,-0.041911852435369434,2737
ETHUSDT,hl_range_z_48h,fwd_1h,-0.015281767602513922,2904
ETHUSDT,hl_range_z_48h,fwd_3h,-0.02128816450782351,2902
ETHUSDT,hl_range_z_48h,fwd_6h,-0.013154895500979091,2899
ETHUSDT,hl_range_z_48h,fwd_12h,-0.027546695576533137,2893
ETHUSDT,hl_range_z_48h,fwd_24h,-0.06314113024622744,2881
ETHUSDT,hl_range_z_48h,fwd_48h,-0.012432201310753916,2857
ETHUSDT,hl_range_z_48h,fwd_72h,0.023978673155329876,2833
ETHUSDT,hl_range_z_48h,fwd_168h,0.01969520703852469,2737
