feature,horizon,BTCUSDT,ETHUSDT,SOLUSDT,ic_avg,ic_min_abs,same_sign
roc_1h,fwd_6h,0.01646786255485985,0.020769743158056853,0.016071527048368995,0.017769710920428564,0.016071527048368995,True
roc_1h,fwd_72h,-0.00760484651185359,0.003062270262266764,-0.02800412388040912,-0.01084890004333198,0.003062270262266764,False
roc_24h,fwd_12h,-0.01698745407571611,0.05989098768669123,0.05243696082553858,0.03178016481217124,0.01698745407571611,False
roc_24h,fwd_168h,0.030885556418446057,0.027454634138116614,-0.049455501905263495,0.002961562883766392,0.027454634138116614,False
roc_24h,fwd_1h,-0.010403658874203777,0.01718475980032453,0.017130123329115957,0.007970408085078902,0.010403658874203777,False
roc_24h,fwd_24h,-0.0030214126211531482,0.0712596181846206,0.021519684744557795,0.02991929676934175,0.0030214126211531482,False
roc_24h,fwd_3h,-0.008666480160457993,0.0319304933812754,0.036984163861305146,0.020082725694040852,0.008666480160457993,False
roc_24h,fwd_48h,-0.026243861918950145,0.02501576244689468,-0.09508917123458398,-0.032105756902213144,0.02501576244689468,False
roc_24h,fwd_6h,-0.013358341531588235,0.03669973633677161,0.05184228223596298,0.025061225680382118,0.013358341531588235,False
roc_24h,fwd_72h,0.033799825762417,0.01885084234840247,-0.12577460978710042,-0.024374647225426982,0.01885084234840247,False
roc_3h,fwd_12h,-0.007232991435889412,0.017583450388119093,0.02476852815314282,0.011706329035124167,0.007232991435889412,False
roc_3h,fwd_168h,0.018317321087289794,0.015871772398178944,0.0020317665777044623,0.012073620021057734,0.0020317665777044623,True
roc_3h,fwd_1h,-0.018322417353185256,0.006341987747621971,-0.00859504012161965,-0.006858489909060978,0.006341987747621971,False
roc_3h,fwd_24h,-0.0072057384109084285,0.03356121933098122,0.038635945708222055,0.021663808876098284,0.0072057384109084285,False
roc_3h,fwd_3h,0.021119660910617826,0.0511074413343708,0.02055400012942503,0.03092703412480455,0.02055400012942503,True
roc_3h,fwd_48h,-0.0048156593359367315,0.02667476803989833,-0.0070054112601918425,0.004951232481256586,0.0048156593359367315,False
roc_3h,fwd_6h,0.02589167215885804,0.03845042653959836,0.032854271629264506,0.0323987901092403,0.02589167215885804,True
roc_3h,fwd_72h,-0.015091712492814758,4.785269265737865e-05,-0.05187717810415657,-0.022307012634771316,4.785269265737865e-05,False
roc_48h,fwd_12h,-0.027506690657706306,0.03229461863490576,-0.04258521025509998,-0.01259909409263351,0.027506690657706306,False
roc_48h,fwd_168h,0.030462479186576543,0.026277171579179873,-0.09864760194670742,-0.013969317060317002,0.026277171579179873,False
